run_id,topology,schedule_mode,backend,status,ranks_complete,ranks_total,simulation_end_ns,all_reduce_ops,all_reduce_ranks,all_reduce_mean_ns,all_reduce_max_ns,all_to_all_ops,all_to_all_ranks,all_to_all_mean_ns,all_to_all_max_ns
pdtt.direct.Aware,pdtt,direct,congestion_aware,ok,128,128,492501,64,64,123230.8,133090,128,128,126698.1,192279
pdtt.direct.Unaware,pdtt,direct,congestion_unaware,ok,128,128,424542,64,64,116597.4,119718,128,128,65865.2,124342
pdtt.pmcf.Aware,pdtt,pmcf,congestion_aware,ok,128,128,566753,64,64,116597.4,119718,128,128,199148.6,266753
pdtt.pmcf.Unaware,pdtt,pmcf,congestion_unaware,ok,128,128,566753,64,64,116597.4,119718,128,128,199148.6,266753
pdtt.ring.Aware,pdtt,ring,congestion_aware,ok,128,128,25740473,64,64,526867.6,537314,128,128,25147607.1,25435222
pdtt.ring.Unaware,pdtt,ring,congestion_unaware,ok,128,128,10181462,64,64,308532.8,308625,128,128,9708086.1,9881462
pt.direct.Aware,pt,direct,congestion_aware,ok,128,128,503795,64,64,72406.4,72698,128,128,166185.8,203795
pt.direct.Unaware,pt,direct,congestion_unaware,ok,128,128,378522,64,64,72406.4,72698,128,128,41832.4,78522
pt.pmcf.Aware,pt,pmcf,congestion_aware,ok,128,128,610249,64,64,72406.4,72698,128,128,271570.7,310249
pt.pmcf.Unaware,pt,pmcf,congestion_unaware,ok,128,128,610249,64,64,72406.4,72698,128,128,271570.7,310249
pt.ring.Aware,pt,ring,congestion_aware,ok,128,128,12637084,64,64,393693.1,395137,128,128,12132082.8,12337084
pt.ring.Unaware,pt,ring,congestion_unaware,ok,128,128,9946012,64,64,304989.1,305025,128,128,9474972.0,9646012
tons.direct.Aware,tons,direct,congestion_aware,ok,128,128,488514,64,64,113698.7,127610,128,128,127421.8,188514
tons.direct.Unaware,tons,direct,congestion_unaware,ok,128,128,424475,64,64,111733.5,119651,128,128,67941.1,124275
tons.pmcf.Aware,tons,pmcf,congestion_aware,ok,128,128,561442,64,64,111733.5,119651,128,128,198511.6,261442
tons.pmcf.Unaware,tons,pmcf,congestion_unaware,ok,128,128,561442,64,64,111733.5,119651,128,128,198511.6,261442
tons.ring.Aware,tons,ring,congestion_aware,ok,128,128,25989052,64,64,733055.6,783611,128,128,25273220.1,25673164
tons.ring.Unaware,tons,ring,congestion_unaware,ok,128,128,10068212,64,64,306514.8,306575,128,128,9596142.3,9768212
