run_id,stage,topology,topology_bundle,route_policy,collective,schedule_mode,ranks,bytes_per_rank,subchunks,backend,seed,simulation_end_ns,throughput_GBps,complete,rank_count,total_link_bytes,queued_chunks,max_link_utilization,total_queue_wait_ns,max_queue_wait_ns
pt__congestion_aware__allgather__topology-aware__1048576,primary,pt,pt-dor-128,destination-based dimension-order routing,allgather,topology-aware,128,1048576,8,congestion_aware,1,191080,5.487628218547205,True,128,17045651456,0,0.9110320285,0,0
pt__congestion_aware__allgather__topology-aware__16777216,primary,pt,pt-dor-128,destination-based dimension-order routing,allgather,topology-aware,128,16777216,8,congestion_aware,1,2802280,5.986987738555747,True,128,272730423296,0,0.9939335113,0,0
pt__congestion_aware__allgather__topology-aware__268435456,primary,pt,pt-dor-128,destination-based dimension-order routing,allgather,topology-aware,128,268435456,8,congestion_aware,1,44581480,6.0212324938517074,True,128,4363686772736,0,0.9996186757,0,0
pt__congestion_aware__allreduce__topology-aware__1048576,primary,pt,pt-dor-128,destination-based dimension-order routing,allreduce,topology-aware,128,1048576,8,congestion_aware,1,36854,28.452162587507463,True,128,266338304,0,0.07380474304,0,0
pt__congestion_aware__allreduce__topology-aware__16777216,primary,pt,pt-dor-128,destination-based dimension-order routing,allreduce,topology-aware,128,16777216,8,congestion_aware,1,77654,216.05089242022305,True,128,4261412864,0,0.560434749,0,0
pt__congestion_aware__allreduce__topology-aware__268435456,primary,pt,pt-dor-128,destination-based dimension-order routing,allreduce,topology-aware,128,268435456,8,congestion_aware,1,730454,367.4912533848812,True,128,68182605824,0,0.953270158,0,0
pt__congestion_aware__alltoall__direct__1048576,primary,pt,pt-dor-128,destination-based dimension-order routing,alltoall,direct,128,1048576,8,congestion_aware,1,9609,109.12436257675097,True,128,536870912,404877,0.8525340826,52057597,504
pt__congestion_aware__alltoall__direct__16777216,primary,pt,pt-dor-128,destination-based dimension-order routing,alltoall,direct,128,16777216,8,congestion_aware,1,131756,127.33549895260937,True,128,8589934592,417277,0.9948085856,1317085042,8373
pt__congestion_aware__alltoall__direct__268435456,primary,pt,pt-dor-128,destination-based dimension-order routing,alltoall,direct,128,268435456,8,congestion_aware,1,2103596,127.60789429148943,True,128,137438953472,417174,0.9969366742,21619838161,135093
pt__congestion_aware__alltoall__fixed-route-pipeline__1048576,primary,pt,pt-dor-128,destination-based dimension-order routing,alltoall,fixed-route-pipeline,128,1048576,8,congestion_aware,1,119081,8.805569318363132,True,128,536870912,0,0.0687935103,0,0
pt__congestion_aware__alltoall__fixed-route-pipeline__16777216,primary,pt,pt-dor-128,destination-based dimension-order routing,alltoall,fixed-route-pipeline,128,16777216,8,congestion_aware,1,251921,66.59713164047459,True,128,8589934592,0,0.5202900909,0,0
pt__congestion_aware__alltoall__fixed-route-pipeline__268435456,primary,pt,pt-dor-128,destination-based dimension-order routing,alltoall,fixed-route-pipeline,128,268435456,8,congestion_aware,1,2496735,107.51459646298065,True,128,137438953472,0,0.8399577849,0,0
pt__congestion_aware__reduce_scatter__topology-aware__1048576,primary,pt,pt-dor-128,destination-based dimension-order routing,reduce_scatter,topology-aware,128,1048576,8,congestion_aware,1,18495,56.69510678561773,True,128,133169152,0,0.0735333874,0,0
